iter	Passed	Remaining
0	95	95153
1	184	92268
2	260	86701
3	399	99503
4	483	96176
5	562	93230
6	605	85875
7	668	82848
8	756	83270
9	829	82087
10	901	81071
11	927	76384
12	970	73657
13	1048	73851
14	1129	74159
15	1217	74869
16	1268	73326
17	1331	72619
18	1379	71231
19	1424	69814
20	1498	69874
21	1581	70286
22	1642	69765
23	1729	70338
24	1819	70946
25	1872	70129
26	1950	70307
27	2001	69474
28	2086	69865
29	2168	70110
30	2221	69440
31	2249	68059
32	2310	67690
33	2339	66467
34	2407	66390
35	2440	65348
36	2490	64820
37	2579	65313
38	2672	65844
39	2732	65586
40	2787	65210
41	2834	64644
42	2864	63754
43	2933	63737
44	3020	64092
45	3102	64337
46	3180	64484
47	3266	64789
48	3306	64169
49	3389	64391
50	3454	64276
51	3539	64535
52	3592	64191
53	3676	64404
54	3765	64701
55	3845	64827
56	3897	64487
57	3976	64576
58	4011	63978
59	4092	64110
60	4182	64385
61	4227	63965
62	4319	64243
63	4402	64393
64	4478	64417
65	4508	63803
66	4585	63855
67	4652	63764
68	4708	63526
69	4768	63349
70	4828	63179
71	4866	62721
72	4945	62802
73	5026	62893
74	5126	63228
75	5197	63189
76	5272	63202
77	5355	63299
78	5404	63010
79	5487	63105
80	5570	63206
81	5667	63442
82	5754	63581
83	5833	63608
84	5912	63647
85	5949	63227
86	6038	63366
87	6111	63338
88	6209	63564
89	6259	63295
90	6341	63342
91	6415	63319
92	6500	63401
93	6591	63526
94	6682	63658
95	6788	63923
96	6831	63600
97	6939	63873
98	7040	64071
99	7106	63956
100	7196	64054
101	7311	64373
102	7489	65221
103	7604	65516
104	7698	65618
105	7789	65692
106	7885	65809
107	7942	65600
108	8033	65669
109	8121	65710
110	8219	65829
111	8270	65575
112	8421	66108
113	8532	66317
114	8767	67470
115	8851	67454
116	9168	69191
117	9307	69572
118	9396	69565
119	9598	70392
120	9676	70297
121	9761	70250
122	9795	69839
123	9881	69804
124	9998	69991
125	10128	70259
126	10219	70247
127	10333	70395
128	10415	70328
129	10517	70384
130	10548	69974
131	10643	69988
132	10760	70148
133	10873	70272
134	10999	70481
135	11071	70334
136	11178	70413
137	11273	70417
138	11318	70106
139	11433	70234
140	11533	70263
141	11685	70608
142	11859	71075
143	11899	70738
144	11918	70280
145	12053	70505
146	12196	70772
147	12321	70934
148	12414	70903
149	12546	71096
150	12566	70652
151	12691	70805
152	12785	70777
153	12832	70497
154	12885	70247
155	12988	70273
156	13057	70113
157	13176	70217
158	13289	70290
159	13392	70310
160	13478	70238
161	13576	70229
162	13688	70291
163	13792	70308
164	13824	69958
165	13916	69919
166	13974	69707
167	14038	69522
168	14158	69618
169	14302	69827
170	14434	69975
171	14552	70053
172	14625	69916
173	14691	69743
174	14819	69862
175	14876	69650
176	14932	69429
177	15049	69497
178	15085	69190
179	15216	69320
180	15302	69239
181	15400	69219
182	15512	69256
183	15605	69208
184	15721	69260
185	15833	69293
186	15954	69362
187	16063	69380
188	16223	69615
189	16325	69598
190	16426	69574
191	16547	69636
192	16667	69693
193	16794	69776
194	16901	69772
195	17007	69767
196	17136	69852
197	17261	69918
198	17360	69877
199	17458	69834
200	17623	70053
201	17741	70089
202	17853	70095
203	17903	69858
204	17977	69718
205	18047	69560
206	18159	69566
207	18266	69552
208	18471	69909
209	18587	69925
210	18654	69754
211	18823	69967
212	18968	70085
213	19142	70306
214	19292	70439
215	19397	70406
216	19569	70612
217	19715	70723
218	19869	70860
219	20118	71330
220	20436	72035
221	20656	72390
222	20845	72631
223	20944	72559
224	21039	72468
225	21159	72466
226	21292	72508
227	21388	72421
228	21677	72984
229	21892	73292
230	22001	73243
231	22302	73830
232	22454	73916
233	22602	73988
234	22753	74071
235	22928	74227
236	23137	74489
237	23257	74464
238	23353	74361
239	23491	74388
240	23615	74374
241	23714	74280
242	23863	74339
243	23972	74274
244	24103	74278
245	24317	74534
246	24435	74494
247	24469	74197
248	24604	74208
249	24752	74257
250	24861	74187
251	24918	73965
252	25092	74087
253	25208	74038
254	25365	74106
255	25517	74159
256	25569	73921
257	25635	73727
258	25754	73683
259	25838	73539
260	25960	73504
261	26072	73439
262	26187	73384
263	26289	73292
264	26380	73168
265	26491	73100
266	26603	73036
267	26711	72959
268	26819	72881
269	26907	72749
270	27013	72666
271	27136	72630
272	27255	72582
273	27407	72619
274	27519	72550
275	27638	72501
276	27746	72420
277	27853	72339
278	27992	72339
279	28122	72314
280	28244	72269
281	28369	72231
282	28458	72101
283	28556	71993
284	28648	71872
285	28741	71753
286	28852	71679
287	28940	71547
288	29008	71367
289	29096	71235
290	29182	71099
291	29289	71017
292	29413	70973
293	29523	70896
294	29604	70748
295	29714	70672
296	29823	70591
297	29935	70519
298	30018	70377
299	30103	70242
300	30215	70167
301	30308	70050
302	30400	69930
303	30496	69821
304	30572	69665
305	30669	69557
306	30780	69481
307	30899	69424
308	31009	69344
309	31133	69298
310	31182	69083
311	31283	68983
312	31447	69023
313	31513	68847
314	31606	68731
315	31706	68630
316	31806	68529
317	31895	68404
318	31986	68283
319	32084	68180
320	32180	68069
321	32276	67961
322	32388	67886
323	32482	67771
324	32532	67567
325	32640	67483
326	32749	67402
327	32854	67312
328	32942	67187
329	33040	67081
330	33122	66945
331	33212	66824
332	33320	66740
333	33401	66602
334	33447	66395
335	33545	66293
336	33629	66160
337	33722	66048
338	33812	65928
339	33911	65829
340	33997	65702
341	34085	65579
342	34172	65456
343	34245	65304
344	34335	65187
345	34412	65045
346	34470	64868
347	34543	64718
348	34659	64650
349	34703	64450
350	34805	64354
351	34891	64231
352	34972	64099
353	35053	63967
354	35153	63870
355	35227	63726
356	35332	63638
357	35403	63489
358	35496	63379
359	35546	63193
360	35638	63082
361	35734	62979
362	35824	62865
363	35912	62748
364	35990	62613
365	36070	62482
366	36148	62349
367	36171	62120
368	36234	61961
369	36283	61780
370	36372	61665
371	36469	61566
372	36565	61465
373	36667	61374
374	36764	61273
375	36850	61156
376	36933	61033
377	37008	60897
378	37082	60759
379	37123	60570
380	37210	60455
381	37301	60347
382	37360	60186
383	37413	60018
384	37473	59860
385	37551	59731
386	37628	59602
387	37715	59490
388	37809	59387
389	37888	59261
390	37906	59041
391	37982	58910
392	38076	58809
393	38157	58688
394	38245	58578
395	38284	58394
396	38372	58284
397	38418	58111
398	38521	58023
399	38596	57894
400	38685	57787
401	38785	57695
402	38873	57586
403	38964	57482
404	39091	57430
405	39179	57321
406	39232	57161
407	39316	57047
408	39388	56916
409	39489	56826
410	39586	56730
411	39630	56560
412	39713	56445
413	39782	56309
414	39872	56205
415	39904	56019
416	40000	55924
417	40061	55778
418	40078	55573
419	40172	55476
420	40261	55371
421	40337	55249
422	40428	55146
423	40568	55111
424	40657	55007
425	40740	54893
426	40826	54786
427	40941	54716
428	40989	54556
429	41050	54415
430	41163	54343
431	41256	54245
432	41343	54137
433	41436	54039
434	41515	53921
435	41605	53820
436	41696	53719
437	41740	53557
438	41854	53486
439	41941	53380
440	42027	53272
441	42127	53183
442	42227	53094
443	42325	53001
444	42413	52897
445	42431	52706
446	42501	52579
447	42615	52508
448	42716	52420
449	42817	52333
450	42912	52237
451	43005	52139
452	43039	51969
453	43129	51869
454	43162	51700
455	43249	51595
456	43358	51518
457	43436	51402
458	43519	51294
459	43580	51160
460	43645	51030
461	43740	50936
462	43837	50844
463	43957	50779
464	44036	50665
465	44059	50488
466	44171	50414
467	44269	50323
468	44402	50272
469	44440	50113
470	44579	50068
471	44662	49961
472	44786	49898
473	44872	49795
474	44987	49723
475	45120	49670
476	45225	49587
477	45310	49481
478	45426	49409
479	45485	49275
480	45608	49211
481	45712	49126
482	45814	49039
483	45917	48952
484	46060	48909
485	46148	48807
486	46267	48737
487	46315	48593
488	46455	48545
489	46601	48503
490	46742	48455
491	46769	48290
492	46874	48206
493	47009	48151
494	47036	47986
495	47117	47877
496	47167	47737
497	47252	47631
498	47361	47551
499	47503	47503
500	47613	47423
501	47718	47338
502	47833	47263
503	47921	47160
504	48001	47050
505	48131	46989
506	48230	46898
507	48325	46802
508	48478	46764
509	48650	46742
510	48762	46663
511	48914	46621
512	49028	46543
513	49148	46471
514	49230	46363
515	49317	46259
516	49409	46160
517	49513	46072
518	49629	45995
519	49719	45894
520	49818	45802
521	49898	45692
522	49967	45572
523	50067	45481
524	50192	45412
525	50277	45307
526	50389	45226
527	50471	45118
528	50561	45017
529	50651	44917
530	50760	44833
531	50885	44763
532	51020	44702
533	51140	44627
534	51224	44522
535	51297	44407
536	51314	44243
537	51421	44157
538	51520	44064
539	51607	43962
540	51683	43849
541	51780	43755
542	51843	43632
543	51945	43542
544	52036	43443
545	52120	43337
546	52198	43228
547	52287	43128
548	52357	43011
549	52436	42902
550	52560	42830
551	52614	42701
552	52725	42618
553	52815	42519
554	52966	42468
555	53107	42409
556	53221	42328
557	53345	42255
558	53502	42208
559	53593	42109
560	53705	42026
561	53817	41943
562	53879	41820
563	53978	41728
564	54074	41632
565	54175	41540
566	54266	41441
567	54346	41334
568	54398	41205
569	54491	41107
570	54563	40993
571	54673	40909
572	54762	40808
573	54866	40719
574	54952	40617
575	55163	40606
576	55273	40520
577	55378	40432
578	55398	40281
579	55478	40174
580	55553	40063
581	55649	39968
582	55744	39871
583	55899	39819
584	56019	39740
585	56110	39641
586	56213	39550
587	56317	39460
588	56412	39364
589	56507	39268
590	56616	39180
591	56661	39050
592	56764	38959
593	56889	38884
594	56989	38791
595	57099	38704
596	57172	38593
597	57285	38509
598	57344	38389
599	57420	38280
600	57530	38194
601	57635	38104
602	57718	38000
603	57772	37877
604	57887	37794
605	57968	37689
606	58032	37573
607	58136	37482
608	58223	37381
609	58260	37248
610	58337	37141
611	58455	37060
612	58549	36963
613	58670	36883
614	58778	36796
615	58878	36703
616	58964	36602
617	59006	36473
618	59088	36369
619	59117	36233
620	59194	36126
621	59262	36015
622	59336	35906
623	59396	35790
624	59476	35685
625	59521	35561
626	59606	35459
627	59696	35361
628	59724	35226
629	59803	35122
630	59878	35015
631	59930	34896
632	60008	34791
633	60086	34687
634	60143	34570
635	60170	34436
636	60259	34339
637	60349	34242
638	60418	34132
639	60504	34033
640	60576	33926
641	60643	33816
642	60739	33723
643	60848	33636
644	61028	33589
645	61126	33496
646	61162	33369
647	61249	33271
648	61328	33168
649	61411	33067
650	61496	32968
651	61572	32863
652	61609	32738
653	61683	32634
654	61766	32533
655	61825	32420
656	61909	32320
657	62004	32227
658	62071	32118
659	62170	32027
660	62279	31940
661	62354	31836
662	62441	31738
663	62542	31648
664	62628	31549
665	62707	31447
666	62764	31335
667	62858	31241
668	62896	31119
669	62977	31018
670	63054	30916
671	63112	30804
672	63205	30710
673	63276	30605
674	63345	30499
675	63433	30403
676	63504	30298
677	63533	30173
678	63619	30076
679	63705	29979
680	63783	29878
681	63851	29772
682	63933	29673
683	64014	29573
684	64087	29470
685	64149	29362
686	64244	29270
687	64290	29155
688	64335	29039
689	64425	28944
690	64500	28843
691	64526	28719
692	64581	28609
693	64618	28491
694	64662	28377
695	64753	28282
696	64838	28186
697	64925	28090
698	65002	27991
699	65087	27894
700	65178	27800
701	65242	27695
702	65325	27598
703	65406	27500
704	65490	27403
705	65564	27302
706	65633	27200
707	65701	27097
708	65790	27003
709	65873	26906
710	65949	26806
711	66029	26708
712	66137	26622
713	66225	26527
714	66303	26428
715	66379	26329
716	66466	26234
717	66547	26136
718	66623	26037
719	66706	25941
720	66784	25843
721	66868	25747
722	66941	25647
723	67026	25551
724	67104	25453
725	67190	25358
726	67277	25263
727	67359	25167
728	67456	25076
729	67495	24964
730	67571	24865
731	67649	24767
732	67740	24674
733	67833	24582
734	67881	24474
735	67959	24376
736	68029	24276
737	68110	24180
738	68184	24081
739	68241	23976
740	68312	23877
741	68396	23782
742	68475	23685
743	68554	23588
744	68644	23495
745	68717	23397
746	68806	23303
747	68895	23210
748	68959	23109
749	69061	23020
750	69142	22924
751	69233	22832
752	69309	22735
753	69399	22642
754	69495	22551
755	69567	22453
756	69602	22342
757	69679	22245
758	69755	22149
759	69847	22057
760	69924	21960
761	70003	21864
762	70095	21772
763	70185	21680
764	70220	21571
765	70303	21476
766	70354	21372
767	70450	21281
768	70537	21188
769	70620	21094
770	70707	21001
771	70793	20908
772	70870	20811
773	70958	20719
774	71049	20627
775	71099	20523
776	71163	20423
777	71243	20329
778	71313	20231
779	71340	20121
780	71416	20025
781	71488	19929
782	71517	19820
783	71578	19720
784	71669	19629
785	71696	19520
786	71742	19416
787	71823	19322
788	71912	19231
789	71994	19137
790	72102	19051
791	72172	18954
792	72242	18857
793	72333	18766
794	72419	18674
795	72461	18570
796	72541	18476
797	72625	18383
798	72706	18290
799	72774	18193
800	72860	18101
801	72900	17997
802	72993	17907
803	73036	17804
804	73086	17704
805	73128	17601
806	73180	17501
807	73230	17401
808	73275	17299
809	73331	17201
810	73387	17102
811	73410	16996
812	73461	16897
813	73526	16800
814	73580	16702
815	73637	16604
816	73688	16505
817	73738	16406
818	73769	16303
819	73837	16208
820	73873	16106
821	73935	16010
822	73982	15911
823	74039	15814
824	74072	15712
825	74141	15618
826	74166	15514
827	74229	15419
828	74288	15323
829	74354	15229
830	74431	15137
831	74493	15041
832	74517	14939
833	74568	14842
834	74625	14746
835	74683	14650
836	74703	14548
837	74763	14453
838	74809	14355
839	74871	14261
840	74922	14164
841	74987	14071
842	75041	13975
843	75095	13880
844	75153	13785
845	75215	13691
846	75280	13598
847	75306	13498
848	75347	13400
849	75411	13307
850	75462	13212
851	75529	13120
852	75585	13025
853	75635	12930
854	75691	12836
855	75736	12740
856	75809	12649
857	75856	12554
858	75906	12459
859	75962	12366
860	76028	12274
861	76078	12179
862	76147	12088
863	76200	11994
864	76225	11896
865	76280	11803
866	76330	11709
867	76386	11616
868	76456	11525
869	76523	11434
870	76584	11342
871	76656	11252
872	76716	11160
873	76772	11067
874	76823	10974
875	76886	10883
876	76947	10791
877	77010	10700
878	77071	10609
879	77131	10517
880	77185	10425
881	77255	10335
882	77309	10243
883	77377	10153
884	77430	10061
885	77500	9971
886	77520	9875
887	77583	9785
888	77630	9692
889	77687	9601
890	77725	9508
891	77786	9418
892	77857	9328
893	77915	9238
894	77982	9148
895	78052	9059
896	78109	8969
897	78168	8878
898	78227	8788
899	78282	8698
900	78337	8607
901	78393	8517
902	78454	8427
903	78510	8337
904	78536	8244
905	78605	8155
906	78661	8065
907	78720	7976
908	78780	7886
909	78849	7798
910	78892	7707
911	78955	7618
912	79008	7528
913	79077	7440
914	79142	7352
915	79194	7262
916	79269	7174
917	79329	7086
918	79392	6997
919	79442	6908
920	79504	6819
921	79564	6731
922	79623	6642
923	79684	6554
924	79745	6465
925	79802	6377
926	79880	6290
927	79941	6202
928	79994	6113
929	80045	6024
930	80113	5937
931	80173	5849
932	80230	5761
933	80297	5674
934	80372	5587
935	80424	5499
936	80474	5410
937	80529	5322
938	80596	5235
939	80649	5147
940	80680	5058
941	80734	4970
942	80797	4883
943	80845	4795
944	80913	4709
945	80972	4622
946	81031	4535
947	81058	4446
948	81120	4359
949	81161	4271
950	81215	4184
951	81275	4097
952	81331	4011
953	81399	3924
954	81453	3838
955	81514	3751
956	81569	3665
957	81642	3579
958	81692	3492
959	81768	3407
960	81817	3320
961	81875	3234
962	81938	3148
963	81990	3061
964	82040	2975
965	82067	2888
966	82118	2802
967	82169	2716
968	82237	2630
969	82308	2545
970	82366	2459
971	82427	2374
972	82483	2288
973	82538	2203
974	82593	2117
975	82657	2032
976	82726	1947
977	82786	1862
978	82834	1776
979	82900	1691
980	82954	1606
981	83008	1521
982	83059	1436
983	83112	1351
984	83165	1266
985	83278	1182
986	83346	1097
987	83399	1012
988	83456	928
989	83508	843
990	83565	758
991	83616	674
992	83679	589
993	83742	505
994	83796	421
995	83861	336
996	83912	252
997	83974	168
998	84038	84
999	84090	0
